Rolls Mania,4.0,"Opens next at 10:30 am, todayFast Food","Civil Lines, Ashok Nagar",500+ ratings
Shri Ram Bhojnalaya,4.1,North Indian,"Leader Road, Leader Road",1000+ ratings
Burger Station,4.2,"Opens next at 11 am, todayAmerican, Beverages, Snacks, Fast Food","Kareli, Kareli",100+ ratings
Curry Leaf,4.0,"Opens next at 10 am, todaySouth Indian","Civil Lines, Civil Lines",500+ ratings
Bati Chokha Wala,4.0,"Opens next at 12 noon, todayIndian","Civil Lines, Civil Lines",100+ ratings
Red Chili Indian Restaurant,4.0,"Opens next at 10:30 am, todayIndian, Chinese, Pizzas, Continental, Beverages, Snacks","Kareli, Dhoomanganj",50+ ratings
Celebrations,4.1,"Opens next at 12 noon, tomorrowNorth Indian, South Indian, Chinese, Fast Food","Civil Lines, Civil Lines",50+ ratings
Makkhan's  Veg Restaurant(Meerapatti-Transport Nagar),4.0,"Opens next at 10 am, todayNorth Indian, Chinese, South Indian, American, Italian","Dhoomanganj, Dhoomanganj",100+ ratings
Checkers Pizza & Shawarma,3.9,"Opens next at 11 am, todayPizzas, Fast Food","Kareli, Kareli",1000+ ratings
Kalevam,3.9,"Opens next at 11 am, todayChinese, North Indian, South Indian","Dhoomanganj, Dhoomanganj",100+ ratings
